rank,PubYear,Life Sciences,Physics,Chemistry,Computers,Engineering,Mathematics,Agriculture & Environment,Humanity,Others,Sums of cits
250,1998,24.56666667,165.8,1763.833333,0.2,743.95,0,36.65,0,29,2764
251,1998,363.0666667,1228.783333,17.16666667,320.0833333,112.9,551.3333333,10.83333333,11.33333333,127.8333333,2743.333333
252,1999,6.333333333,951,1336.25,1,435.1666667,4,0.25,0,27,2761
253,1998,2559.433333,1.5,45,0.866666667,9.366666667,0.2,16.63333333,0,118,2751
254,2000,9,2114.2,48.33333333,3,420.2,78.5,4.766666667,2,69,2749
255,1992,13.91666667,164.1904762,1849.592857,0,604.05,1,26.41666667,0,85.83333333,2745
256,2002,2530.366667,1.833333333,6,38.98333333,19.91666667,25.9,21.08333333,17.08333333,81,2742.166667
257,1998,0,2657.166667,0,1,9.333333333,57.91666667,0.833333333,1.5,15.25,2743
258,2001,17.66666667,515.9333333,1322.066667,0.95,824.2166667,1.5,26.66666667,1,32,2742
259,1988,2521.894444,0,7.044444444,0,3.583333333,0,9.977777778,0.5,196,2739
260,2002,2420.916667,6,19.25,1.5,195.3333333,0,8.833333333,2,82.16666667,2736
261,2002,2520.866667,1.4,26.76666667,5.833333333,18.96666667,2,41.5,1.666666667,108,2727
262,1998,2635.25,1.333333333,3,0.916666667,55.91666667,0,8.333333333,3.75,14.5,2723
263,2000,2581,0.333333333,27,0,10.5,0,19.16666667,0.5,74.5,2713
264,1998,2562.816667,1,31.03333333,2.283333333,17.03333333,1.666666667,25,1.166666667,67,2709
265,1995,33.41666667,18.33333333,2595.416667,0,52.33333333,0,8.5,0,3,2711
266,1999,2550.333333,0,21.25,0,20.66666667,0,53.83333333,29.41666667,33.5,2709
267,1983,2460.133333,0,11.06666667,0,2.333333333,0,36.46666667,0,197,2707
268,1997,2585.416667,1.333333333,14.83333333,0.166666667,14.41666667,1.666666667,8.25,2.416666667,74.5,2703
269,1971,146.75,8.666666667,2468.369048,0,3,0,24.38095238,0,26.83333333,2678
270,1988,22.7,965.6333333,1587,7.833333333,62.08333333,39.08333333,3.666666667,0,10,2698
271,1989,2561.983333,0,18.66666667,0,29.5,0,15.6,0,68.25,2694
272,1989,2609.75,0,7.75,0,24.5,0,0,0.5,49.5,2692
273,2001,2664.966667,0,2,0,6.5,3.7,0,1.666666667,9.166666667,2688
274,1998,0,2616.333333,0,0,2.75,58.58333333,0,0,3.333333333,2681
275,1995,2561.916667,0.666666667,10.08333333,1.5,10.66666667,0.666666667,2.5,1,88,2677
